epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2391.25,1.23859,0.78344,1.08881,0.77886,0.76353,0.81761,0.51665,1.29644,0.79579,1.13539,0.008614,0.008614,0.008614
44,2448.37,1.23438,0.77531,1.08905,0.79987,0.78512,0.8281,0.52245,1.31601,0.77291,1.13598,0.008581,0.008581,0.008581
45,2505.9,1.22998,0.76782,1.0846,0.79266,0.78978,0.82325,0.5156,1.31091,0.76974,1.13367,0.008548,0.008548,0.008548
46,2563.67,1.21721,0.74788,1.07831,0.81773,0.78611,0.83495,0.52682,1.31897,0.76543,1.13684,0.008515,0.008515,0.008515
47,2621.32,1.23432,0.7625,1.08028,0.80392,0.7936,0.82094,0.51806,1.3214,0.77886,1.13817,0.008482,0.008482,0.008482
48,2678.94,1.23351,0.76332,1.08941,0.79895,0.77701,0.82124,0.51665,1.32455,0.78453,1.13656,0.008449,0.008449,0.008449
49,2736.81,1.23108,0.75455,1.08895,0.80207,0.78762,0.82483,0.51548,1.33627,0.77654,1.14468,0.008416,0.008416,0.008416
50,2793.84,1.21873,0.74297,1.07864,0.79274,0.79884,0.82532,0.5179,1.31663,0.76904,1.13684,0.008383,0.008383,0.008383
51,2851.47,1.20894,0.7278,1.07312,0.81419,0.77342,0.82039,0.52402,1.30584,0.7652,1.13038,0.00835,0.00835,0.00835
52,2909.83,1.22156,0.73142,1.07637,0.78725,0.80402,0.82136,0.52066,1.30664,0.75405,1.13645,0.008317,0.008317,0.008317
53,2966.78,1.19646,0.72377,1.07032,0.78776,0.7914,0.81829,0.5202,1.29258,0.76726,1.11777,0.008284,0.008284,0.008284
54,3023.95,1.20577,0.71634,1.06903,0.81004,0.76748,0.82042,0.51905,1.31576,0.77004,1.13652,0.008251,0.008251,0.008251
55,3082.31,1.20503,0.71222,1.07018,0.80399,0.78136,0.82183,0.52032,1.3179,0.7676,1.13781,0.008218,0.008218,0.008218
56,3139.56,1.19433,0.70725,1.06483,0.82232,0.77782,0.83036,0.52938,1.30906,0.74912,1.1339,0.008185,0.008185,0.008185
57,3197.1,1.19873,0.70412,1.0675,0.80768,0.77464,0.81413,0.51879,1.30141,0.77585,1.13331,0.008152,0.008152,0.008152
58,3254.67,1.19288,0.70302,1.06453,0.81435,0.78461,0.83085,0.52824,1.31682,0.75528,1.13791,0.008119,0.008119,0.008119
59,3313.45,1.18903,0.70915,1.06818,0.82448,0.78002,0.82646,0.52214,1.33304,0.75815,1.14816,0.008086,0.008086,0.008086
60,3370.52,1.19207,0.70277,1.06866,0.81917,0.7971,0.83552,0.52854,1.32067,0.74973,1.1391,0.008053,0.008053,0.008053
61,3427.63,1.19041,0.69273,1.06068,0.789,0.79812,0.82573,0.52712,1.30303,0.74734,1.13157,0.00802,0.00802,0.00802
